,Ticker,Dividends,Ex-Date
0,,0.015833,05/21/2021
1,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=AEIS"" title=""Snapshot of Advanced Energy Industries Inc's stock."">AEIS</a>",0.1,05/21/2021
2,,0.0833,05/21/2021
3,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ATO"" title=""Snapshot of Atmos Energy Corp's stock."">ATO</a>",0.625,05/21/2021
4,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CHK"" title=""Snapshot of Chesapeake Energy Corp's stock."">CHK</a>",0.34375,05/21/2021
5,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=DLX"" title=""Snapshot of Deluxe Corp's stock."">DLX</a>",0.3,05/21/2021
6,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=DX"" title=""Snapshot of Dynex Capital Inc's stock."">DX</a>",0.13,05/21/2021
7,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ENR"" title=""Snapshot of Energizer Holdings Inc's stock."">ENR</a>",0.3,05/21/2021
8,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FHB"" title=""Snapshot of First Hawaiian Inc's stock."">FHB</a>",0.26,05/21/2021
9,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=GSL"" title=""Snapshot of Global Ship Lease Inc's stock."">GSL</a>",0.25,05/21/2021
10,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=IEX"" title=""Snapshot of IDEX Corp's stock."">IEX</a>",0.54,05/21/2021
11,,0.16,05/21/2021
12,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=LPLA"" title=""Snapshot of LPL Financial Holdings Inc's stock."">LPLA</a>",0.25,05/21/2021
13,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=NKSH"" title=""Snapshot of National Bankshares Inc's stock."">NKSH</a>",0.7,05/21/2021
14,,0.07,05/21/2021
15,,0.21,05/21/2021
16,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=PAG"" title=""Snapshot of Penske Automotive Group Inc's stock."">PAG</a>",0.44,05/21/2021
17,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=PSX"" title=""Snapshot of Phillips 66's stock."">PSX</a>",0.9,05/21/2021
18,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=RDN"" title=""Snapshot of Radian Group Inc's stock."">RDN</a>",0.14,05/21/2021
19,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=R"" title=""Snapshot of Ryder System Inc's stock."">R</a>",0.56,05/21/2021
20,,0.05625,05/21/2021
21,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=TIPT"" title=""Snapshot of Tiptree Inc's stock."">TIPT</a>",0.04,05/21/2021
22,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=TSCO"" title=""Snapshot of Tractor Supply Co's stock."">TSCO</a>",0.52,05/21/2021
23,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=UPS"" title=""Snapshot of United Parcel Service Inc's stock."">UPS</a>",1.02,05/21/2021
24,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=VTRS"" title=""Snapshot of Viatris Inc's stock."">VTRS</a>",0.11,05/21/2021
25,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=WMG"" title=""Snapshot of Warner Music Group Corp's stock."">WMG</a>",0.12,05/21/2021
