,Ticker,Dividends,Ex-Date
0,ACNB,0.02,05/28/2021
1,ACNB,0.25,05/28/2021
2,WMS,0.11,05/28/2021
3,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ACNB"" title=""Snapshot of ACNB Corp's stock."">ACNB</a>",0.1417,05/28/2021
4,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ACNB"" title=""Snapshot of ACNB Corp's stock."">ACNB</a>",0.05,05/28/2021
5,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=WMS"" title=""Snapshot of Advanced Drainage Systems Inc's stock."">WMS</a>",0.05,05/28/2021
6,,0.3,05/28/2021
7,,0.18,05/28/2021
8,,0.66,05/28/2021
9,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ASH"" title=""Snapshot of Ashland Global Holdings Inc's stock."">ASH</a>",0.075,05/28/2021
10,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ASB"" title=""Snapshot of Associated Banc-Corp's stock."">ASB</a>",0.055,05/28/2021
11,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=AIZ"" title=""Snapshot of Assurant Inc's stock."">AIZ</a>",0.0171,05/28/2021
12,,0.067,05/28/2021
13,,0.0525,05/28/2021
14,,0.15,05/28/2021
15,,0.18,05/28/2021
16,,0.0662,05/28/2021
17,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BLL"" title=""Snapshot of Ball Corp's stock."">BLL</a>",0.1031,05/28/2021
18,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BGFV"" title=""Snapshot of Big 5 Sporting Goods Corp's stock."">BGFV</a>",0.0325,05/28/2021
19,,0.041666,05/28/2021
20,,0.03,05/28/2021
21,,0.04,05/28/2021
22,,0.0834,05/28/2021
23,,0.1,05/28/2021
24,,0.165,05/28/2021
25,,0.17,05/28/2021
26,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BCC"" title=""Snapshot of Boise Cascade Co's stock."">BCC</a>",0.065,05/28/2021
27,,0.1125,05/28/2021
28,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BWA"" title=""Snapshot of Borgwarner Inc's stock."">BWA</a>",0.075,05/28/2021
29,,0.1,05/28/2021
30,,0.04,05/28/2021
31,,0.0417,05/28/2021
32,,0.025,05/28/2021
33,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BRKR"" title=""Snapshot of Bruker Corp's stock."">BRKR</a>",2.5,05/28/2021
34,,0.115,05/28/2021
35,,0.09417,05/28/2021
36,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CABO"" title=""Snapshot of Cable One Inc's stock."">CABO</a>",0.22,05/28/2021
37,,0.04,05/28/2021
38,,0.04166,05/28/2021
39,,0.051,05/28/2021
40,,0.05,05/28/2021
41,,0.03,05/28/2021
42,,0.061667,05/28/2021
43,,0.01,05/28/2021
44,,0.329,05/28/2021
45,,0.17,05/28/2021
46,,0.21,05/28/2021
47,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CWEN%2FA"" title=""Snapshot of Clearway Energy Inc's stock."">CWEN/A</a>",0.03,05/28/2021
48,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CCNE"" title=""Snapshot of CNB Financial Corp's stock."">CCNE</a>",0.1,05/28/2021
49,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CXP"" title=""Snapshot of Columbia Property Trust Inc's stock."">CXP</a>",0.06,05/28/2021
50,,0.07417,05/28/2021
51,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=COWN"" title=""Snapshot of Cowen Inc's stock."">COWN</a>",0.06693,05/28/2021
52,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CRD%2FB"" title=""Snapshot of Crawford &amp; Co's stock."">CRD/B</a>",0.02,05/28/2021
53,,0.03333,05/28/2021
54,,0.1,05/28/2021
55,,0.1,05/28/2021
56,,0.1,05/28/2021
57,,0.06192,05/28/2021
58,,0.03333,05/28/2021
59,,0.08333,05/28/2021
60,,0.13,05/28/2021
61,,0.18,05/28/2021
62,,0.06,05/28/2021
63,,0.3,05/28/2021
64,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=EBAY"" title=""Snapshot of eBay Inc's stock."">EBAY</a>",0.01,05/28/2021
65,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ESI"" title=""Snapshot of Element Solutions Inc's stock."">ESI</a>",0.05,05/28/2021
66,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=EMCF"" title=""Snapshot of Emclaire Financial Corp's stock."">EMCF</a>",0.14,05/28/2021
67,,0.17,05/28/2021
68,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=NETI"" title=""Snapshot of Eneti Inc's stock."">NETI</a>",0.01345,05/28/2021
69,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ESCA"" title=""Snapshot of Escalade Inc's stock."">ESCA</a>",0.19,05/28/2021
70,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ESNT"" title=""Snapshot of Essent Group Ltd's stock."">ESNT</a>",0.58,05/28/2021
71,,0.04,05/28/2021
72,,0.1257,05/28/2021
73,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=EXPD"" title=""Snapshot of Expeditors International of Washington Inc's stock."">EXPD</a>",0.078,05/28/2021
74,,0.0425,05/28/2021
75,,0.036,05/28/2021
76,,0.23,05/28/2021
77,,0.195833,05/28/2021
78,,0.0425,05/28/2021
79,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FFBC"" title=""Snapshot of First Financial Bancorp's stock."">FFBC</a>",0.06,05/28/2021
80,,0.07,05/28/2021
81,,0.12,05/28/2021
82,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FBC"" title=""Snapshot of Flagstar Bancorp Inc's stock."">FBC</a>",0.06,05/28/2021
83,,0.04,05/28/2021
84,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FNB"" title=""Snapshot of FNB Corp's stock."">FNB</a>",0.06,05/28/2021
85,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FNCB"" title=""Snapshot of FNCB Bancorp Inc's stock."">FNCB</a>",2,05/28/2021
86,,0.08,05/28/2021
