,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,HUTMF,Hut 8 Mining Corp,2021-05-13T10:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
1,MASS,908 Devices Inc.,2021-05-13T08:30:00.000Z,TAS,-0.22,,,EDT,-14400000,EQUITY
2,MASS,908 Devices Inc.,2021-05-13T12:30:00.000Z,BMO,-0.22,,,EDT,-14400000,EQUITY
3,CRLFF,Cardinal Energy Ltd (Alberta),2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
4,AZEK,Azek Company Inc,2021-05-13T12:30:00.000Z,BMO,0.23,,,EDT,-14400000,EQUITY
5,ACB,Aurora Cannabis Inc,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
6,APTX,Aptinyx Inc,2021-05-13T20:00:00.000Z,AMC,-0.22,,,EDT,-14400000,EQUITY
7,AMS,American Shared Hospital Services,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
8,AMS,American Shared Hospital Services,2021-05-13T13:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
9,BABA,Alibaba Group Holding Ltd,2021-05-13T12:30:00.000Z,BMO,1.78,,,EDT,-14400000,EQUITY
10,USAS,Americas Gold and Silver Corporation,2021-05-13T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
11,BAM,Brookfield Asset Management Inc,2021-05-13T12:30:00.000Z,BMO,0.59,,,EDT,-14400000,EQUITY
12,ABCL,Abcellera Biologics Inc,2021-05-13T10:59:00.000Z,TNS,0.38,,,EDT,-14400000,EQUITY
13,ABCL,Abcellera Biologics Inc,2021-05-13T17:00:00.000Z,TAS,0.38,,,EDT,-14400000,EQUITY
14,AEY,ADDvantage Technologies Group Inc,2021-05-13T17:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
15,PKE,Park Aerospace Corp,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
16,HGHAF,High Arctic Energy Services Inc,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
17,LIFE,aTyr Pharma Inc,2021-05-13T20:00:00.000Z,AMC,-0.32,,,EDT,-14400000,EQUITY
18,RCEL,AVITA Medical Inc,2021-05-13T20:00:00.000Z,AMC,-0.33,,,EDT,-14400000,EQUITY
19,CDPYF,Canadian Apartment Properties Real Estate Investment Trust,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
20,HUSA,Houston American Energy Corp,2021-05-13T13:27:00.000Z,TAS,,,,EDT,-14400000,EQUITY
21,AGRO,Adecoagro SA,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
22,NEXCF,Nextech Ar Solutions Corp,2021-05-13T20:00:00.000Z,AMC,-0.07,,,EDT,-14400000,EQUITY
23,AVXL,Anavex Life Sciences Corp,2021-05-13T12:30:00.000Z,BMO,-0.14,,,EDT,-14400000,EQUITY
24,AWH,Aspira Women's Health Inc,2021-05-13T20:00:00.000Z,AMC,-0.17,,,EDT,-14400000,EQUITY
25,AEYE,AudioEye Inc,2021-05-13T20:00:00.000Z,AMC,-0.23,,,EDT,-14400000,EQUITY
26,APDN,Applied DNA Sciences Inc,2021-05-13T20:00:00.000Z,AMC,-0.21,,,EDT,-14400000,EQUITY
27,AOIFF,Africa Oil Corp,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
28,ABNB,Airbnb Inc,2021-05-13T17:00:00.000Z,TAS,-1.19,,,EDT,-14400000,EQUITY
29,AACG,ATA Creativity Global,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
30,HOLI,Hollysys Automation Technologies Ltd,2021-05-13T20:00:00.000Z,AMC,0.44,,,EDT,-14400000,EQUITY
31,XEBEF,Xebec Adsorption Inc,2021-05-13T07:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
32,AVIR,Atea Pharmaceuticals Inc,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
33,AGFS,AgroFresh Solutions Inc,2021-05-13T20:00:00.000Z,AMC,-0.2,,,EDT,-14400000,EQUITY
34,EDSA,Edesa Biotech Inc,2021-05-13T12:30:00.000Z,BMO,-0.29,,,EDT,-14400000,EQUITY
35,UTZ,Utz Brands Inc,2021-05-13T12:30:00.000Z,BMO,0.14,,,EDT,-14400000,EQUITY
36,BTTR,Better Choice Company Inc,2021-05-13T08:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
