,ticker,companyshortname,startdatetime,epsestimate
0,AUMBF,1911 Gold Corp,2021-05-26T20:00:00.000Z,
1,AZMCF,Arizona Metals Corp,2021-05-26T20:00:00.000Z,
2,BBW,Build-A-Bear Workshop Inc,2021-05-26T12:30:00.000Z,-0.53
3,UHAL,Amerco,2021-05-26T20:00:00.000Z,5.07
4,ANF,Abercrombie & Fitch Co,2021-05-26T12:30:00.000Z,-0.38
5,AAMMF,Almadex Minerals Ltd,2021-05-26T20:00:00.000Z,
6,AEO,American Eagle Outfitters Inc,2021-05-26T20:00:00.000Z,0.46
7,ZXAIY,China Zenix Auto International Ltd,2021-05-26T08:00:00.000Z,
8,REX,REX American Resources Corp,2021-05-26T12:30:00.000Z,0.01
9,ICLK,iClick Interactive Asia Group Ltd,2021-05-26T12:30:00.000Z,0.0
10,ELF,elf Beauty Inc,2021-05-26T20:00:00.000Z,0.09
11,VTOL,Bristow Group Inc,2021-05-26T20:00:00.000Z,0.39
12,BMO,Bank of Montreal,2021-05-26T12:30:00.000Z,
13,DBI,Designer Brands Inc,2021-05-26T20:00:00.000Z,-0.18
14,CHNG,Change Healthcare Inc,2021-05-26T20:00:00.000Z,0.36
15,MCLDF,mCloud Technologies Corp,2021-05-26T12:30:00.000Z,
16,CMCO,Columbus McKinnon Corp,2021-05-26T12:30:00.000Z,0.51
17,NVDA,NVIDIA Corp,2021-05-26T23:00:00.000Z,3.28
18,CVCO,Cavco Industries Inc,2021-05-26T20:00:00.000Z,1.92
19,DXC,DXC Technology Co,2021-05-26T20:00:00.000Z,0.7
20,NWVCF,Enwave Corp,2021-05-26T20:00:00.000Z,
21,VIPRF,Silver Viper Minerals Corp,2021-05-26T10:59:00.000Z,
22,QMCO,Quantum Corp,2021-05-26T20:00:00.000Z,0.01
23,UVV,Universal Corp,2021-05-26T20:00:00.000Z,
24,MOD,Modine Manufacturing Co,2021-05-26T20:00:00.000Z,0.27
25,CPRI,Capri Holdings Ltd,2021-05-26T12:30:00.000Z,0.02
26,APPS,Digital Turbine Inc,2021-05-26T20:00:00.000Z,0.19
27,SQIDF,SQI Diagnostics Inc,2021-05-26T10:59:00.000Z,
28,DKS,Dick's Sporting Goods Inc,2021-05-26T12:30:00.000Z,1.12
29,ENS,EnerSys,2021-05-26T20:00:00.000Z,1.29
30,RYB,RYB Education Inc,2021-05-26T20:00:00.000Z,-0.23
31,HLG,Hailiang Education Group Inc,2021-05-26T20:00:00.000Z,
32,FOLGF,Falcon Oil & Gas Ltd,2021-05-26T20:00:00.000Z,
33,GOTU,GSX Techedu Inc,2021-05-26T12:30:00.000Z,-0.38
34,NVGS,Navigator Holdings Ltd,2021-05-26T20:00:00.000Z,0.05
35,NXGN,NextGen Healthcare Inc,2021-05-26T20:00:00.000Z,0.19
36,VEXTF,Vext Science Inc,2021-05-26T08:00:00.000Z,
37,ZUO,Zuora Inc,2021-05-26T20:00:00.000Z,-0.04
38,SNOW,Snowflake Inc.,2021-05-26T20:00:00.000Z,-0.16
39,QIFTF,Quorum Information Technologies Inc,2021-05-26T20:00:00.000Z,
40,LAIX,LAIX Inc,2021-05-26T20:00:00.000Z,-0.6
41,PSTG,Pure Storage Inc,2021-05-26T20:00:00.000Z,-0.06
42,OOMA,Ooma Inc,2021-05-26T20:00:00.000Z,0.08
43,WSM,Williams-Sonoma Inc,2021-05-26T20:00:00.000Z,1.83
44,PDD,Pinduoduo Inc,2021-05-26T12:30:00.000Z,-0.42
45,WOWMF,Wow Unlimited Media Inc,2021-05-26T20:00:00.000Z,
46,QADA,QAD Inc,2021-05-26T20:00:00.000Z,0.12
47,NTNX,Nutanix Inc,2021-05-26T20:00:00.000Z,-0.49
48,WDAY,Workday Inc,2021-05-26T20:00:00.000Z,0.73
49,OKTA,Okta Inc,2021-05-26T20:00:00.000Z,-0.2
50,PLNHF,Planet 13 Holdings Inc,2021-05-27T20:00:00.000Z,
51,QFIN,360 DigiTech Inc,2021-05-27T20:00:00.000Z,0.8
52,AMWD,American Woodmark Corp,2021-05-27T12:30:00.000Z,1.71
53,ADBRF,Aldebaran Resources Inc,2021-05-27T10:59:00.000Z,
54,ATHM,Autohome Inc,2021-05-27T12:30:00.000Z,0.93
55,ASND,Ascendis Pharma A/S,2021-05-27T20:00:00.000Z,
56,AWF,AllianceBernstein Global High Income Fund Inc,2021-05-27T10:59:00.000Z,
57,AWF,AllianceBernstein Global High Income Fund Inc,2021-05-27T20:00:00.000Z,
58,PLAN,Anaplan Inc,2021-05-27T12:30:00.000Z,-0.09
59,ADSK,Autodesk Inc,2021-05-27T20:00:00.000Z,0.94
60,AFYA,Afya Ltd,2021-05-27T20:00:00.000Z,0.29
61,OLLI,Ollie's Bargain Outlet Holdings Inc,2021-05-27T20:00:00.000Z,0.63
62,BBY,Best Buy Co Inc,2021-05-27T13:30:00.000Z,1.35
63,BURL,Burlington Stores Inc,2021-05-27T12:30:00.000Z,0.83
64,ULTA,Ulta Beauty Inc,2021-05-27T20:00:00.000Z,1.93
65,RY,Royal Bank of Canada,2021-05-27T12:30:00.000Z,
66,BOX,Box Inc,2021-05-27T20:00:00.000Z,0.17
67,RDHL,Redhill Biopharma Ltd,2021-05-27T12:30:00.000Z,-0.34
68,BIOYF,Biosyent Inc,2021-05-27T12:30:00.000Z,
69,TD,Toronto-Dominion Bank,2021-05-27T12:30:00.000Z,
70,CM,Canadian Imperial Bank of Commerce,2021-05-27T12:30:00.000Z,
71,CM,Canadian Imperial Bank of Commerce,2021-05-27T07:30:00.000Z,
72,BOSC,BOS Better Online Solutions Ltd,2021-05-27T12:30:00.000Z,
73,CRVL,CorVel Corp,2021-05-27T12:30:00.000Z,
74,DG,Dollar General Corp,2021-05-27T12:30:00.000Z,2.19
75,VIOT,Viomi Technology Co Ltd,2021-05-27T12:30:00.000Z,0.1
76,COST,Costco Wholesale Corp,2021-05-27T16:15:00.000Z,
77,CRLBF,Cresco Labs Inc,2021-05-27T12:30:00.000Z,
78,DOMO,Domo Inc,2021-05-27T20:00:00.000Z,-0.43
79,DELL,Dell Technologies Inc,2021-05-27T21:00:00.000Z,1.61
80,DXLG,Destination XL Group Inc,2021-05-27T12:30:00.000Z,
81,DLTR,Dollar Tree Inc,2021-05-27T12:30:00.000Z,1.4
82,THBRF,Thunderbird Entertainment Group Inc,2021-05-27T14:00:00.000Z,
83,EH,EHang Holdings Ltd,2021-05-27T12:30:00.000Z,
84,MCESF,Macro Enterprises Inc,2021-05-27T10:59:00.000Z,
85,FANH,Fanhua Inc,2021-05-27T20:00:00.000Z,
86,SAFM,Sanderson Farms Inc,2021-05-27T12:30:00.000Z,2.17
87,GCO,Genesco Inc,2021-05-27T12:30:00.000Z,-0.52
88,GPS,Gap Inc,2021-05-27T16:15:00.000Z,-0.05
89,HHR,HeadHunter Group PLC,2021-05-27T10:59:00.000Z,0.22
90,PRVA,Privia Health Group Inc,2021-05-27T20:00:00.000Z,
91,MOV,Movado Group Inc,2021-05-27T12:30:00.000Z,-0.08
92,GES,Guess? Inc,2021-05-27T20:00:00.000Z,-0.19
93,HMLP,Hoegh LNG Partners LP,2021-05-27T12:30:00.000Z,0.4
94,HLNE,Hamilton Lane Inc,2021-05-27T12:30:00.000Z,0.76
95,HPQ,HP Inc,2021-05-27T20:00:00.000Z,0.89
96,TITN,Titan Machinery Inc,2021-05-27T12:30:00.000Z,0.16
97,YY,JOYY Inc,2021-05-27T20:00:00.000Z,-0.12
98,KRKNF,Kraken Robotics Inc,2021-05-27T12:30:00.000Z,
99,TLTFF,Theralase Technologies Inc,2021-05-27T20:00:00.000Z,
100,YEXT,Yext Inc,2021-05-27T20:00:00.000Z,-0.06
101,CRM,Salesforce.Com Inc,2021-05-27T20:00:00.000Z,0.88
102,VEEV,Veeva Systems Inc,2021-05-27T20:00:00.000Z,0.78
103,VMW,VMware Inc,2021-05-27T20:00:00.000Z,1.76
104,RVVTF,Revive Therapeutics Ltd,2021-05-27T20:00:00.000Z,
105,MDT,Medtronic PLC,2021-05-27T12:30:00.000Z,1.42
106,VRRKF,VersaBank,2021-05-27T09:00:00.000Z,
107,KYN,Kayne Anderson Energy Infrastructure Fund Inc,2021-05-28T10:59:00.000Z,
108,BIG,Big Lots Inc,2021-05-28T12:30:00.000Z,1.69
109,NTIOF,National Bank of Canada,2021-05-28T12:30:00.000Z,
110,CBWBF,Canadian Western Bank,2021-05-28T12:30:00.000Z,
111,CAL,Caleres Inc,2021-05-28T12:30:00.000Z,0.03
112,CYPXF,EQ Inc,2021-05-28T08:00:00.000Z,
113,FLOOF,Flower One Holdings Inc,2021-05-28T20:00:00.000Z,
114,HIBB,Hibbett Sports Inc,2021-05-28T12:30:00.000Z,2.57
115,WDDMF,WeedMD Inc,2021-05-28T10:00:00.000Z,
116,CALM,Cal-Maine Foods Inc,2021-05-29T10:59:00.000Z,
117,CBWTF,Auxly Cannabis Group Inc,2021-05-31T12:30:00.000Z,
118,AMSC,American Superconductor Corp,2021-05-31T20:00:00.000Z,-0.21
119,CBRL,Cracker Barrel Old Country Store Inc,2021-05-31T12:30:00.000Z,0.26
120,TOUR,Tuniu Corp,2021-05-31T12:30:00.000Z,
121,NGL,NGL Energy Partners LP,2021-05-31T10:59:00.000Z,-0.06
122,THR,Thermon Group Holdings Inc,2021-05-31T12:30:00.000Z,0.19
123,MLAB,Mesa Laboratories Inc,2021-05-31T12:30:00.000Z,0.25
124,PLNHF,Planet 13 Holdings Inc,2021-06-01T20:00:00.000Z,
125,AMBA,Ambarella Inc,2021-06-01T20:00:00.000Z,0.17
126,IDGBF,Indigo Books and Music Inc,2021-06-01T20:00:00.000Z,
127,CTIC,CTI Biopharma Corp,2021-06-01T20:00:00.000Z,
128,BNS,Bank of Nova Scotia,2021-06-01T06:00:00.000Z,
129,HPE,Hewlett Packard Enterprise Co,2021-06-01T20:00:00.000Z,0.42
130,GHM,Graham Corp,2021-06-01T12:30:00.000Z,0.09
131,ZM,Zoom Video Communications Inc,2021-06-01T20:00:00.000Z,0.99
132,CMTL,Comtech Telecommunications Corp,2021-06-01T10:59:00.000Z,-0.01
133,INEOF,INEO Tech Corp,2021-06-01T12:30:00.000Z,
134,CGC,Canopy Growth Corp,2021-06-01T12:30:00.000Z,
135,CPB,Campbell Soup Co,2021-06-01T12:30:00.000Z,0.66
136,CCORF,Canaccord Genuity Group Inc,2021-06-01T20:00:00.000Z,
137,KEGX,Key Energy Services Inc,2021-06-01T10:59:00.000Z,
138,RQHTF,Reliq Health Technologies Inc,2021-06-01T09:00:00.000Z,
139,VLGEA,Village Super Market Inc,2021-06-01T12:30:00.000Z,
140,ITI,Iteris Inc,2021-06-01T20:00:00.000Z,0.0
141,MDLA,Medallia Inc,2021-06-01T20:00:00.000Z,-0.07
142,KIRK,Kirkland's Inc,2021-06-01T12:30:00.000Z,-0.01
143,IWSY,ImageWare Systems Inc,2021-06-01T20:00:00.000Z,
144,PCLOF,Pharmacielo Ltd,2021-06-01T19:30:00.000Z,
145,STNE,StoneCo Ltd,2021-06-01T20:00:00.000Z,0.18
146,AAP,Advance Auto Parts Inc,2021-06-02T12:30:00.000Z,3.08
147,GIII,G-III Apparel Group Ltd,2021-06-02T12:30:00.000Z,0.15
148,LRCDF,Laurentian Bank of Canada,2021-06-02T12:30:00.000Z,
149,CLDR,Cloudera Inc,2021-06-02T20:00:00.000Z,0.08
150,CMD,Cantel Medical Corp,2021-06-02T12:30:00.000Z,0.6
151,IDT,IDT Corp,2021-06-02T10:59:00.000Z,
152,NAV,Navistar International Corp,2021-06-02T12:30:00.000Z,0.68
153,AI,C3Ai Inc,2021-06-02T17:00:00.000Z,
154,SJM,J M Smucker Co,2021-06-02T07:00:00.000Z,1.66
155,SMTC,Semtech Corp,2021-06-02T20:00:00.000Z,0.52
156,DCI,Donaldson Company Inc,2021-06-02T12:30:00.000Z,0.58
157,PVH,PVH Corp,2021-06-02T20:00:00.000Z,0.83
158,PAGS,PagSeguro Digital Ltd,2021-06-02T20:00:00.000Z,0.19
159,DSGX,Descartes Systems Group Inc,2021-06-02T20:00:00.000Z,0.17
160,DLNG,Dynagas LNG Partners LP,2021-06-02T10:59:00.000Z,0.19
161,DOCU,DocuSign Inc,2021-06-02T10:59:00.000Z,0.28
162,EGHSF,Enghouse Systems Ltd,2021-06-02T10:59:00.000Z,
163,ESTC,Elastic NV,2021-06-02T20:00:00.000Z,-0.16
164,KLXE,KLX Energy Services Holdings Inc,2021-06-02T12:30:00.000Z,-2.32
165,OESX,Orion Energy Systems Inc,2021-06-02T12:30:00.000Z,0.1
166,LE,Lands End Inc,2021-06-02T12:30:00.000Z,-0.29
167,SFUN,Fang Holdings Ltd,2021-06-02T12:30:00.000Z,
168,STGYF,Stingray Group Inc,2021-06-02T20:00:00.000Z,
169,GHG,GreenTree Hospitality Group Ltd,2021-06-02T20:00:00.000Z,0.07
170,NXGWF,Next Green Wave Holdings Inc,2021-06-02T12:30:00.000Z,
171,GWRE,Guidewire Software Inc,2021-06-02T20:00:00.000Z,-0.24
172,NM,Navios Maritime Holdings Inc,2021-06-02T12:30:00.000Z,
173,SPLK,Splunk Inc,2021-06-02T20:00:00.000Z,-0.7
174,SMAR,Smartsheet Inc,2021-06-02T20:00:00.000Z,-0.14
175,NTAP,NetApp Inc,2021-06-02T20:00:00.000Z,1.12
176,NCNO,nCino Inc,2021-06-02T20:00:00.000Z,-0.05
